#,,,"generated_by='OpenQuake engine 3.15.0-git6830da70dc', start_date='2022-06-20T16:51:43', checksum=179802014, investigation_time=50.0, mag_bin_edges=[4.0, 5.0, 6.0, 7.0, 8.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0], lon_bin_edges=[10.649030690311356, 10.921360613610094, 11.193690536908832, 11.46602046020757, 11.738350383506306, 12.010680306805044, 12.283010230103782, 12.555340153402518, 12.827670076701256, 13.099999999999994, 13.372329923298732, 13.64465984659747, 13.916989769896206, 14.189319693194944, 14.461649616493682, 14.733979539792418, 15.006309463091156, 15.278639386389894, 15.550969309688632], lat_bin_edges=[40.99136, 41.19120888888889, 41.391057777777775, 41.59090666666667, 41.790755555555556, 41.99060444444444, 42.19045333333333, 42.390302222222225, 42.59015111111111, 42.79, 42.989848888888886, 43.18969777777778, 43.38954666666667, 43.589395555555555, 43.78924444444444, 43.98909333333334, 44.188942222222224, 44.38879111111111, 44.58864], eps_bin_edges=[-3.0, -1.0, 1.0, 3.0], tectonic_region_types=['Shallow Default'], rlz_ids=[12], weights=[1.0], lon=13.099999999999994, lat=42.79"
imt,poe,mag,rlz12
PGA,0.1,4.50000E+00,2.30361E-02
PGA,0.1,5.50000E+00,5.63296E-02
PGA,0.1,6.50000E+00,2.11916E-02
PGA,0.1,7.50000E+00,2.87659E-03
PGA,0.05,4.50000E+00,9.64889E-03
PGA,0.05,5.50000E+00,2.86828E-02
PGA,0.05,6.50000E+00,1.12837E-02
PGA,0.05,7.50000E+00,1.53180E-03
SA(0.1),0.1,4.50000E+00,1.30406E-01
SA(0.1),0.1,5.50000E+00,1.79715E-01
SA(0.1),0.1,6.50000E+00,5.31672E-02
SA(0.1),0.1,7.50000E+00,6.40220E-03
SA(0.1),0.05,4.50000E+00,1.30406E-01
SA(0.1),0.05,5.50000E+00,1.79715E-01
SA(0.1),0.05,6.50000E+00,5.31672E-02
SA(0.1),0.05,7.50000E+00,6.40220E-03
SA(0.2),0.1,4.50000E+00,3.08310E-02
SA(0.2),0.1,5.50000E+00,8.97390E-02
SA(0.2),0.1,6.50000E+00,3.71830E-02
SA(0.2),0.1,7.50000E+00,5.58113E-03
SA(0.2),0.05,4.50000E+00,3.08310E-02
SA(0.2),0.05,5.50000E+00,8.97390E-02
SA(0.2),0.05,6.50000E+00,3.71830E-02
SA(0.2),0.05,7.50000E+00,5.58113E-03
SA(1.0),0.1,4.50000E+00,6.17125E-04
SA(1.0),0.1,5.50000E+00,4.27774E-02
SA(1.0),0.1,6.50000E+00,4.91221E-02
SA(1.0),0.1,7.50000E+00,1.09722E-02
SA(1.0),0.05,4.50000E+00,6.77226E-05
SA(1.0),0.05,5.50000E+00,1.73957E-02
SA(1.0),0.05,6.50000E+00,2.62786E-02
SA(1.0),0.05,7.50000E+00,7.19901E-03
SA(2.0),0.1,4.50000E+00,1.01083E-04
SA(2.0),0.1,5.50000E+00,3.36368E-02
SA(2.0),0.1,6.50000E+00,5.53762E-02
SA(2.0),0.1,7.50000E+00,1.44420E-02
SA(2.0),0.05,4.50000E+00,0.00000E+00
SA(2.0),0.05,5.50000E+00,1.26908E-02
SA(2.0),0.05,6.50000E+00,2.87085E-02
SA(2.0),0.05,7.50000E+00,9.37739E-03
