,Network,Station,Event,SF,dt,npts,Mw,R,Vs30,Fname1,Fname2,url
0,IV,RM33,EMSC-20160824_0000006,1.5507658556083403,0.005,15023,6.0,13.01,842.199118,IV.RM33..HNE.D.EMSC-20160824_0000006.ACC.MP.ASC,IV.RM33..HNN.D.EMSC-20160824_0000006.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/RM33/00/EMSC-20160824_0000006/HG
1,A,SONB,GE-1991-0003,1.8531472671442992,0.005,5920,5.6,,852.5196199999999,A.SONB..HNE.D.GE-1991-0003.ACC.MP.ASC,A.SONB..HNN.D.GE-1991-0003.ACC.MP.ASC,https://esm-db.eu/#/waveform/A/SONB/00/GE-1991-0003/HG
2,BO,FKO19,USGS-us20005iis,1.001986278386836,0.005,43998,7.0,39.83,640.977562,BO.FKO19.00.HNE.D.USGS-us20005iis.ACC.MP.ASC,BO.FKO19.00.HNN.D.USGS-us20005iis.ACC.MP.ASC,https://esm-db.eu/#/waveform/BO/FKO19/00/USGS-us20005iis/HG
3,IV,T1214,EMSC-20160903_0000063,3.487259540873796,0.005,24624,4.3,,762.891893,IV.T1214..HNE.D.EMSC-20160903_0000063.ACC.MP.ASC,IV.T1214..HNN.D.EMSC-20160903_0000063.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/T1214/00/EMSC-20160903_0000063/HG
4,IT,PRE,EMSC-20161030_0000029,0.4931359454126481,0.005,14000,6.5,2.65,972.2551960000001,IT.PRE..HGE.D.EMSC-20161030_0000029.ACC.MP.ASC,IT.PRE..HGN.D.EMSC-20161030_0000029.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/PRE/00/EMSC-20161030_0000029/HG
5,A,SBKR,AM-1990-0013,3.2467083011582667,0.005,3913,5.4,,960.4749220000001,A.SBKR..HNE.D.AM-1990-0013.ACC.MP.ASC,A.SBKR..HNN.D.AM-1990-0013.ACC.MP.ASC,https://esm-db.eu/#/waveform/A/SBKR/00/AM-1990-0013/HG
6,IV,RM05,IT-2009-0140,2.575155231522913,0.005,11980,5.2,,617.276579,IV.RM05..HNE.D.IT-2009-0140.ACC.MP.ASC,IV.RM05..HNN.D.IT-2009-0140.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/RM05/00/IT-2009-0140/HG
7,IT,AQP,IT-2009-0121,1.8315309572753982,0.005,19800,5.4,,836.0,IT.AQP..HNE.D.IT-2009-0121.ACC.MP.ASC,IT.AQP..HNN.D.IT-2009-0121.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AQP/00/IT-2009-0121/HG
8,IT,PDM,IT-2013-0019,2.274345317394813,0.005,11397,5.0,,893.078008,IT.PDM..HGE.D.IT-2013-0019.ACC.MP.ASC,IT.PDM..HGN.D.IT-2013-0019.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/PDM/00/IT-2013-0019/HG
9,IT,AQP,IT-2009-0077,3.5658278530996137,0.005,14600,4.3,,836.0,IT.AQP..HNE.D.IT-2009-0077.ACC.MP.ASC,IT.AQP..HNN.D.IT-2009-0077.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AQP/00/IT-2009-0077/HG
10,HL,THVC,GR-1999-0001,2.7426244077229485,0.005,11200,5.9,25.82,712.0,HL.THVC..HN2.D.GR-1999-0001.ACC.MP.ASC,HL.THVC..HN3.D.GR-1999-0001.ACC.MP.ASC,https://esm-db.eu/#/waveform/HL/THVC/00/GR-1999-0001/HG
11,IT,AQG,IT-2009-0032,1.769391977606969,0.005,20000,5.1,,696.0,IT.AQG..HNE.D.IT-2009-0032.ACC.MP.ASC,IT.AQG..HNN.D.IT-2009-0032.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AQG/00/IT-2009-0032/HG
